title;office_id;office;otk;place_id;place;place_otk;region_id;region;region_otk;is_archive;cfo_type_id;guid
Подразделения ППК;1800;ИТ Отдел Рязань Управление СБЕ МИ;IT032;2426;Департамент ИТ Комбинаты;;2357;Общекомб. подр.;;FALSE;;
Подразделения ППК;1801;ОбщКомбШинглас;OKP20;2720;ОКП;;2357;Общекомб. подр.;;FALSE;;
Подразделения ППК;1802;Пластики Хабаровск;SK22;2761;Пластики;;2252;СБЕ СКиХ;;FALSE;;
Подразделения ППК;1803;ВПП-Хабаровск;XP062;2273;XPS;;2251;СБЕ ПИ;;FALSE;;
Подразделения ППК;1804;Строительные пленки Рязань;KK123;2762;Строительные плёнки;;2246;СБЕ БМиГ;;FALSE;;
Подразделения ППК;1805;ТН Рециклинг Рязань;LR018;2274;ПВХ;;2248;СБЕ ПМ и ПИР;;FALSE;;
Подразделения ППК;1806;МП ОП Барнаул;MP019;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1807;СОХ Тюмень;MP020;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1808;СОХ Уфа;MP022;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1809;МП ОП Самара;MP023;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1810;КВ-Белгород;TI068;2270;Каменная вата;;2249;СБЕ МИ;;FALSE;;
Подразделения ППК;1811;МП ОП Иркутск;MP024;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1812;МП ОП Красноярск;MP025;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1813;Агро Белгород;AG05;2269;Агро;;2249;СБЕ МИ;;FALSE;;
Подразделения ППК;1814;ОбщКомбБелгород;OKP21;2720;ОКП;;2357;Общекомб. подр.;;FALSE;;
Подразделения ППК;1815;Прочее Белгород;VP05;2372;Вспомогательное пр-во;;2357;Общекомб. подр.;;FALSE;;
Подразделения ППК;1816;МП ОП Хабаровск;MP026;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1817;ИТ Отдел Белгород;IT45;2426;Департамент ИТ Комбинаты;;2357;Общекомб. подр.;;FALSE;;
Подразделения ППК;1818;ОКС Белгород;OKS27;2373;ОКС;;2357;Общекомб. подр.;;FALSE;;
Подразделения ППК;1820;ТехИзоляция Белгород;TI09;2272;ТехИзоляция;;2249;СБЕ МИ;;FALSE;;
Подразделения ППК;1822;Пластики Рязань;SK23;2761;Пластики;;2252;СБЕ СКиХ;;FALSE;;
Подразделения ППК;1824;Монтажные пены Выборг;MP29;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1825;Монтажные пены Осиповичи;MP030;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1826;Монтажные пены Новоульяновск;MP031;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1827;Монтажные пены МинВоды;MP032;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1828;Монтажные пены Учалы;MP033;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1829;ИТ Отдел ТНСС СПб;IT46;2253;ИТ Дирекция КЦ;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;1830;Монтажные Пены Алабуга (Заинск);MP034;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1831;Посыпка Перспектива;GG05;2260;Посыпка;;2246;СБЕ БМиГ;;FALSE;;
Подразделения ППК;1834;СОХ Москва;MP027;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1835;СОХ Ростов-на-Дону;MP028;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1837;РРЦ ППК Узбекистан;RC89;2276;Шинглас;;2252;СБЕ СКиХ;;FALSE;;
Подразделения ППК;1838;СОХ Самара;MP029;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1839;Платформа ИТ;IT49;2253;ИТ Дирекция КЦ;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;1840;Герметики Новоульяновск;GE001;2458;Бутилы;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1842;Агро Заинск;AG06;2269;Агро;;2249;СБЕ МИ;;FALSE;;
Подразделения ППК;1844;Сетки - Рязань;SE001;2719;PIR;;2248;СБЕ ПМ и ПИР;;FALSE;;
Подразделения ППК;1029;Отдел АП Чехия;AP01;2739;ТН-Чехия;;2729;TN-International;;FALSE;;
Подразделения ППК;1027;Регионы - Чехия;OP013;2739;ТН-Чехия;;2729;TN-International;;FALSE;;
Подразделения ППК;1845;СОХ Нижний Новгород;MP035;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1847;Управление продажами КЦ;KC20;2255;Управляющая компания;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;1848;XPS Воскресенск;XPS87;2273;XPS;;2251;СБЕ ПИ;;FALSE;;
Подразделения ППК;1849;Шинглас Саратов;SK016;2276;Шинглас;;2252;СБЕ СКиХ;;FALSE;;
Подразделения ППК;1850;РРЦ ППК Саратов;RC90;2276;Шинглас;;2252;СБЕ СКиХ;;FALSE;;
Подразделения ППК;1851;СОХ Санкт-Петербург;MP036;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1852;СОХ Москва (Томилино);MP037;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1853;КВ-Алматы;TI069;2270;Каменная вата;;2249;СБЕ МИ;;FALSE;;
Подразделения ППК;1854;РРЦ БМиГ Ростов-Иркутск;RC95;2445;КМС;;2246;СБЕ БМиГ;;FALSE;;
Подразделения ППК;1855;СОХ Новосибирск;MP038;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1856;РРЦ СК Саратов;RC91;2276;Шинглас;;2252;СБЕ СКиХ;;FALSE;;
Подразделения ППК;1857;ОбщКомбСаратов;OKP22;2720;ОКП;;2357;Общекомб. подр.;;FALSE;;
Подразделения ППК;1858;СОХ Краснодар;MP039;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1859;РРЦ БМиГ Саратов;RC92;2445;КМС;;2246;СБЕ БМиГ;;FALSE;;
Подразделения ППК;1860;Армированные пены;LR019;2719;PIR;;2248;СБЕ ПМ и ПИР;;FALSE;;
Подразделения ППК;1861;НИКОгласс-Рязань;SK042;2728;Никогласс;;2252;СБЕ СКиХ;;FALSE;;
Подразделения ППК;1862;РРЦ МиСХ Саратов;MP30;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1863;ИТ Отдел ННовгород ОКС;IT033;2426;Департамент ИТ Комбинаты;;2357;Общекомб. подр.;;FALSE;;
Подразделения ППК;1864;ИТ Отдел Саратов Шинглас;IT034;2426;Департамент ИТ Комбинаты;;2357;Общекомб. подр.;;FALSE;;
Подразделения ППК;1865;ИТ Отдел Ревда;IT035;2426;Департамент ИТ Комбинаты;;2357;Общекомб. подр.;;FALSE;;
Подразделения ППК;1866;XPS Ревда;XP063;2273;XPS;;2251;СБЕ ПИ;;FALSE;;
Подразделения ППК;1868;Цифровая логистика;LG06;2255;Управляющая компания;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;1869;XPS Алматы;XP064;2273;XPS;;2251;СБЕ ПИ;;FALSE;;
Подразделения ППК;1870;Пластики Саратов;SK24;2761;Пластики;;2252;СБЕ СКиХ;;FALSE;;
Подразделения ППК;1871;ДОК Н.Тагил;DR01;2812;Деревообработка;;2252;СБЕ СКиХ;;FALSE;;
Подразделения ППК;1872;Агро Ростов;AG07;2269;Агро;;2249;СБЕ МИ;;FALSE;;
Подразделения ППК;1873;Печь Рязань;SK023;2276;Шинглас;;2252;СБЕ СКиХ;;FALSE;;
Подразделения ППК;1874;РРЦ ППК Воскресенск;RC93;2276;Шинглас;;2252;СБЕ СКиХ;;FALSE;;
Подразделения ППК;1875;РРЦ ППК Владивосток;RC94;2276;Шинглас;;2252;СБЕ СКиХ;;FALSE;;
Подразделения ППК;1876;ВПП Северо-Запад;XP065;2273;XPS;;2251;СБЕ ПИ;;FALSE;;
Подразделения ППК;1877;РРЦ ПВХ Саратов;PL12;2451;РРЦ ПВХ;;2248;СБЕ ПМ и ПИР;;FALSE;;
Подразделения ППК;1878;Кровля-Владивосток;KK112;2263;Рулонные материалы;;2246;СБЕ БМиГ;;FALSE;;
Подразделения ППК;1879;ИТ Отдел Владивосток;IT036;2426;Департамент ИТ Комбинаты;;2357;Общекомб. подр.;;FALSE;;
Подразделения ППК;1880;ИТ Отдел Алматы Техно;IT022;2426;Департамент ИТ Комбинаты;;2357;Общекомб. подр.;;FALSE;;
Подразделения ППК;1881;Управление НМ БМиГ;KK013;2265;Управление Кровля;;2246;СБЕ БМиГ;;FALSE;;
Подразделения ППК;1882;Волокно Гусь-Хрустальный;GE01;2824;Геотекстиль;;2246;СБЕ БМиГ;;FALSE;;
Подразделения ППК;1883;Спанбонд Рязань;KK124;2762;Строительные плёнки;;2246;СБЕ БМиГ;;FALSE;;
Подразделения ППК;1884;ИТ Отдел Гусь-Хрустальный;IT037;2426;Департамент ИТ Комбинаты;;2357;Общекомб. подр.;;FALSE;;
Подразделения ППК;1885;СОХ Ярославль;MP040;2674;Строительная химия;;2247;СБЕ МиСХ;;FALSE;;
Подразделения ППК;1886;ПремьерЛес;DR02;2812;Деревообработка;;2252;СБЕ СКиХ;;FALSE;;
Подразделения ППК;1887;ЛесСервис;DR03;2812;Деревообработка;;2252;СБЕ СКиХ;;FALSE;;
Подразделения ППК;1888;ИТ Отдел Рязань Монтажные Пены;IT038;2426;Департамент ИТ Комбинаты;;2357;Общекомб. подр.;;FALSE;;
